iteration,timesteps,mean_cost,std_cost
100,25600,312002.03,13869.30
200,51200,372923.77,16108.62
300,76800,387114.80,26233.81
400,102400,402067.43,7971.44
500,128000,349679.52,11872.36
600,153600,186263.37,1769.78
700,179200,189541.06,2216.86
800,204800,152694.99,5153.99
900,230400,195689.86,5889.16
1000,256000,196313.60,13449.98
1100,281600,130696.13,4502.41
1200,307200,136931.92,82422.99
1300,332800,70966.50,8245.01
1400,358400,37497.92,2310.67
1500,384000,17778.43,271.29
1600,409600,8753.27,191.72
1700,435200,5316.21,462.19
1800,460800,5199.01,304.36
1900,486400,4875.71,210.51
2000,512000,4690.07,190.93
2100,537600,4429.47,175.88
2200,563200,4687.89,151.71
2300,588800,4675.92,156.45
2400,614400,4186.66,221.58
2500,640000,4218.87,288.98
2600,665600,4072.14,211.42
2700,691200,4060.03,176.18
2800,716800,4101.83,246.81
2900,742400,4052.11,220.36
3000,768000,4069.10,199.43
3100,793600,3816.30,321.32
3200,819200,4091.34,257.49
3300,844800,4062.76,201.00
3400,870400,3712.84,304.65
3500,896000,3739.09,295.98
3600,921600,3741.38,168.08
3700,947200,3633.64,201.11
3800,972800,3752.77,228.44
3900,998400,3655.62,215.57
4000,1024000,3528.50,210.47
4100,1049600,3687.68,184.10
4200,1075200,3594.52,461.89
4300,1100800,3413.80,236.37
4400,1126400,3370.60,262.54
4500,1152000,3350.91,296.98
4600,1177600,3394.94,435.77
4700,1203200,3351.34,310.34
4800,1228800,3376.92,380.46
4900,1254400,3344.49,270.63
5000,1280000,3344.40,235.56
5100,1305600,3255.30,288.31
5200,1331200,3433.71,236.12
5300,1356800,3456.75,213.56
5400,1382400,3299.83,348.91
5500,1408000,3415.69,321.71
5600,1433600,3366.57,260.39
5700,1459200,3348.32,277.27
5800,1484800,3295.69,359.55
5900,1510400,3437.61,206.09
6000,1536000,3328.56,250.22
6100,1561600,3609.67,171.97
6200,1587200,3446.67,238.81
6300,1612800,3498.51,325.42
6400,1638400,3468.96,189.79
6500,1664000,3306.01,251.09
6600,1689600,3398.86,226.12
6700,1715200,3404.94,277.32
6800,1740800,3411.24,300.64
6900,1766400,3364.42,356.74
7000,1792000,3324.52,263.06
7100,1817600,3536.35,273.92
7200,1843200,3431.73,409.80
7300,1868800,3452.70,556.45
7400,1894400,3468.05,475.20
7500,1920000,3330.86,254.19
7600,1945600,3420.83,231.89
7700,1971200,3389.96,373.20
7800,1996800,3332.55,405.24
7900,2022400,3515.43,416.19
8000,2048000,3357.89,258.27
8100,2073600,3479.01,396.98
8200,2099200,3455.82,445.98
8300,2124800,3483.03,392.79
8400,2150400,3451.91,299.42
8500,2176000,3411.95,265.35
8600,2201600,3459.41,469.59
8700,2227200,3371.17,422.99
8800,2252800,3439.06,406.78
8900,2278400,3324.43,343.69
9000,2304000,3321.82,331.25
9100,2329600,3382.43,254.90
9200,2355200,3343.57,375.58
9300,2380800,3889.10,847.93
9400,2406400,3523.75,638.56
9500,2432000,3368.79,351.02
9600,2457600,3446.92,230.64
9700,2483200,3486.00,246.33
9800,2508800,3581.57,378.24
9900,2534400,3382.56,308.13
10000,2560000,3394.75,357.32
