iteration,timesteps,mean_cost,std_cost
500,128000,656845.15,5469.66
1000,256000,914204.66,26573.73
1500,384000,809034.13,28809.14
2000,512000,782557.93,42231.27
2500,640000,449035.76,5155.10
3000,768000,473626.82,7475.90
3500,896000,63586.79,2230.49
4000,1024000,21989.30,5000.01
4500,1152000,11382.62,506.18
5000,1280000,9872.01,188.16
5500,1408000,8463.57,179.96
6000,1536000,6962.16,219.19
6500,1664000,6669.66,334.84
7000,1792000,6552.25,238.20
7500,1920000,6203.57,243.06
8000,2048000,6301.45,728.42
8500,2176000,6013.07,273.26
9000,2304000,5940.84,456.72
9500,2432000,5804.29,467.67
10000,2560000,5785.74,442.56
10500,2688000,5710.32,287.67
11000,2816000,5851.57,239.89
11500,2944000,5635.09,407.78
12000,3072000,5524.93,404.47
12500,3200000,7862.39,1215.49
13000,3328000,5684.08,330.10
13500,3456000,5681.75,354.24
14000,3584000,5733.64,385.85
14500,3712000,5667.89,308.50
15000,3840000,5873.15,323.98
15500,3968000,5750.64,215.77
16000,4096000,5750.07,412.99
16500,4224000,5577.92,307.99
17000,4352000,5953.92,557.94
17500,4480000,6347.48,655.76
18000,4608000,5656.33,364.69
18500,4736000,5813.41,546.91
19000,4864000,5632.91,394.76
19500,4992000,5608.26,464.65
20000,5120000,6085.04,560.03
20500,5248000,5805.85,521.55
21000,5376000,5614.29,230.42
21500,5504000,6004.24,371.97
22000,5632000,5641.35,423.89
22500,5760000,6285.09,836.61
23000,5888000,5640.59,406.42
23500,6016000,5757.18,216.02
24000,6144000,5687.71,401.11
24500,6272000,5639.60,298.61
25000,6400000,5862.75,564.97
25500,6528000,5991.81,584.79
26000,6656000,5786.90,390.60
26500,6784000,5586.26,287.19
27000,6912000,5918.37,434.45
27500,7040000,5832.12,284.05
28000,7168000,5694.27,330.21
28500,7296000,5536.78,443.16
29000,7424000,5890.69,558.77
