iteration,timesteps,mean_cost,std_cost
500,128000,665507.73,2090.81
1000,256000,1327585.34,15910.62
1500,384000,524878.57,24858.72
2000,512000,305957.37,2213.47
2500,640000,286627.29,3145.50
3000,768000,390759.39,5186.23
3500,896000,225126.66,4517.54
4000,1024000,362864.49,1685.50
4500,1152000,346602.89,2282.69
5000,1280000,216306.18,1127.17
5500,1408000,34261.58,7013.73
6000,1536000,11691.83,349.73
6500,1664000,8433.26,268.40
7000,1792000,7358.67,414.01
7500,1920000,6387.09,358.06
8000,2048000,5361.25,231.22
8500,2176000,5060.58,298.15
9000,2304000,5664.20,269.95
9500,2432000,4978.95,222.24
10000,2560000,5152.35,289.55
10500,2688000,5370.62,390.56
11000,2816000,5805.44,402.32
11500,2944000,5958.92,549.29
12000,3072000,3934.97,225.82
12500,3200000,4325.16,164.07
13000,3328000,3610.03,267.79
13500,3456000,3854.19,214.92
14000,3584000,3970.22,278.37
14500,3712000,3666.68,219.64
15000,3840000,3693.75,169.32
15500,3968000,3750.55,235.87
16000,4096000,3512.67,253.84
16500,4224000,2785.65,178.23
17000,4352000,3892.05,427.03
17500,4480000,2898.70,201.23
18000,4608000,3391.57,505.54
18500,4736000,2826.20,147.47
19000,4864000,2710.20,166.32
19500,4992000,2883.68,171.77
20000,5120000,2754.20,209.92
20500,5248000,2815.58,158.16
21000,5376000,2645.31,188.98
21500,5504000,2522.62,240.99
22000,5632000,2620.26,251.23
22500,5760000,2636.84,206.49
23000,5888000,2764.35,249.88
23500,6016000,2673.50,162.34
24000,6144000,3088.30,232.62
24500,6272000,2751.26,343.36
25000,6400000,2627.56,215.67
25500,6528000,2795.47,239.05
26000,6656000,2720.71,161.24
26500,6784000,3572.57,180.73
27000,6912000,3014.35,250.53
27500,7040000,3035.66,153.36
28000,7168000,2719.25,196.80
28500,7296000,2671.79,168.69
29000,7424000,2691.75,191.07
29500,7552000,2642.97,187.39
30000,7680000,2593.69,167.13
30500,7808000,2613.84,189.54
31000,7936000,2654.14,174.29
31500,8064000,2608.80,201.26
32000,8192000,2620.61,151.85
32500,8320000,2762.22,149.57
33000,8448000,3305.90,276.89
33500,8576000,2738.25,206.21
34000,8704000,3018.37,228.38
34500,8832000,2687.42,191.99
35000,8960000,2593.32,176.31
35500,9088000,2704.08,225.34
36000,9216000,2556.60,213.10
36500,9344000,2606.29,303.60
37000,9472000,2605.02,259.78
37500,9600000,2679.97,272.32
38000,9728000,2623.70,253.79
38500,9856000,2763.73,341.91
39000,9984000,2602.20,248.05
39500,10112000,3226.12,325.80
40000,10240000,2592.63,233.04
40500,10368000,2666.19,303.64
41000,10496000,2600.24,267.02
41500,10624000,2609.89,218.51
42000,10752000,2680.02,219.36
42500,10880000,3078.63,386.06
43000,11008000,2641.83,262.18
43500,11136000,2567.56,232.14
44000,11264000,2641.37,251.38
44500,11392000,2706.20,291.59
45000,11520000,2712.29,302.70
45500,11648000,2557.80,252.91
46000,11776000,2561.24,277.94
46500,11904000,2762.81,273.35
47000,12032000,2585.83,221.32
47500,12160000,2626.55,275.99
48000,12288000,2541.69,232.63
48500,12416000,2568.50,206.58
49000,12544000,2702.96,192.94
49500,12672000,2557.79,198.53
50000,12800000,2758.88,179.50
