iteration,timesteps,mean_cost,std_cost
100,25600,18884.28,338.94
200,51200,7385.21,1168.48
300,76800,8436.14,1132.68
400,102400,5368.91,921.19
500,128000,8100.53,963.11
600,153600,4206.24,971.24
700,179200,4235.98,1022.25
800,204800,4511.42,1003.54
900,230400,3597.20,715.49
1000,256000,4370.22,933.83
1100,281600,3207.18,735.50
1200,307200,2555.00,688.95
1300,332800,2262.23,532.83
1400,358400,2143.71,589.16
1500,384000,2055.55,473.21
1600,409600,2423.73,877.09
1700,435200,2059.11,416.96
1800,460800,1721.17,516.45
1900,486400,1948.97,532.74
2000,512000,1723.64,407.99
2100,537600,1800.55,497.62
2200,563200,1924.13,655.79
2300,588800,2082.90,429.37
2400,614400,1444.71,397.48
2500,640000,1430.88,423.37
2600,665600,1392.63,300.92
2700,691200,1299.23,243.37
2800,716800,1555.58,263.82
2900,742400,1321.20,333.58
3000,768000,1397.04,405.34
3100,793600,1384.71,393.71
3200,819200,1520.33,356.24
3300,844800,1432.46,388.78
3400,870400,1365.05,351.55
3500,896000,1556.02,398.68
3600,921600,1720.48,403.21
3700,947200,1364.49,394.43
3800,972800,1364.71,372.96
3900,998400,1983.24,523.18
4000,1024000,1495.98,412.43
4100,1049600,1400.93,342.09
4200,1075200,1685.54,428.58
4300,1100800,1301.46,326.54
4400,1126400,1380.29,268.49
4500,1152000,1396.55,317.37
4600,1177600,1337.97,428.98
4700,1203200,1312.76,315.00
4800,1228800,1278.50,424.14
4900,1254400,1107.94,260.08
5000,1280000,1251.78,248.57
5100,1305600,1223.73,329.59
5200,1331200,1177.39,307.07
5300,1356800,1357.62,371.05
5400,1382400,1283.19,421.00
5500,1408000,1205.26,264.60
5600,1433600,1226.36,388.20
5700,1459200,1168.21,271.55
5800,1484800,1353.93,355.03
5900,1510400,1226.80,286.94
6000,1536000,1361.07,304.16
6100,1561600,1104.97,261.35
6200,1587200,1275.69,459.27
6300,1612800,1165.43,363.93
6400,1638400,1184.95,296.72
6500,1664000,1211.57,378.04
6600,1689600,1324.14,283.46
6700,1715200,1243.42,305.75
6800,1740800,1212.77,310.70
6900,1766400,1178.52,297.03
7000,1792000,1325.80,443.02
7100,1817600,1239.34,322.28
7200,1843200,1385.39,378.56
7300,1868800,1387.53,345.02
7400,1894400,1412.73,419.66
7500,1920000,1167.13,279.08
7600,1945600,1313.34,318.34
7700,1971200,1125.02,280.55
7800,1996800,1157.94,311.81
7900,2022400,1205.18,350.18
8000,2048000,1396.59,284.58
8100,2073600,1276.24,362.03
8200,2099200,1475.05,495.42
8300,2124800,1528.11,346.86
8400,2150400,1230.37,330.11
8500,2176000,1206.66,293.83
8600,2201600,1258.98,308.35
8700,2227200,1193.44,283.33
8800,2252800,1330.05,307.63
8900,2278400,1262.65,487.49
9000,2304000,1239.97,280.92
9100,2329600,1294.85,405.92
9200,2355200,1333.20,388.03
9300,2380800,1220.69,427.45
9400,2406400,1392.05,371.97
9500,2432000,1220.84,330.15
9600,2457600,1325.32,297.70
9700,2483200,1323.61,296.07
9800,2508800,1374.12,257.92
9900,2534400,1258.78,311.95
10000,2560000,1295.10,460.64
