iteration,timesteps,mean_cost,std_cost
500,128000,1932302.07,27479.06
1000,256000,1637542.71,19342.30
1500,384000,913825.16,26433.94
2000,512000,733758.70,21276.32
2500,640000,803708.33,25143.29
3000,768000,562286.26,20472.15
3500,896000,1303376.17,9544.30
4000,1024000,1089632.05,14513.88
4500,1152000,1357054.61,11151.99
5000,1280000,1135879.41,15001.84
5500,1408000,1396720.45,25006.67
6000,1536000,1503195.73,12115.14
6500,1664000,1866683.40,21363.13
7000,1792000,1126875.73,9335.08
7500,1920000,1316657.88,9387.63
8000,2048000,1385561.30,15573.28
8500,2176000,1236952.74,12534.78
9000,2304000,1124652.52,13974.26
9500,2432000,1577624.26,11740.34
10000,2560000,1438584.39,21253.79
10500,2688000,1608545.17,11620.01
11000,2816000,1799306.88,26208.37
11500,2944000,2055016.15,29401.70
12000,3072000,1782095.22,28314.81
12500,3200000,1525078.47,25299.46
13000,3328000,1676423.25,35234.42
13500,3456000,2132426.08,42565.10
14000,3584000,1940204.80,47214.57
14500,3712000,2492384.75,42852.49
15000,3840000,2404552.07,38436.48
15500,3968000,1523457.32,23223.89
16000,4096000,1624240.64,29733.86
16500,4224000,1385910.79,20139.56
17000,4352000,1471213.00,19772.64
17500,4480000,2525336.65,49053.91
18000,4608000,2305553.86,81661.50
18500,4736000,2640916.45,64264.64
19000,4864000,2572919.88,54594.34
19500,4992000,2483753.72,48102.10
20000,5120000,2412214.16,124291.11
20500,5248000,2023623.77,295273.21
21000,5376000,2412891.82,188895.73
21500,5504000,1354695.29,23931.03
22000,5632000,2488348.30,46136.65
22500,5760000,2314353.71,64086.58
23000,5888000,2473959.27,52574.78
23500,6016000,2405019.40,42441.96
24000,6144000,2362995.80,53513.98
24500,6272000,2153542.08,64375.39
25000,6400000,2275900.23,39472.39
25500,6528000,2393965.34,39370.55
26000,6656000,2546479.93,46879.74
26500,6784000,2358381.58,54437.24
27000,6912000,2519550.35,62743.88
27500,7040000,2514815.63,44148.57
28000,7168000,2560178.08,53258.55
28500,7296000,2475040.12,58854.93
29000,7424000,2415809.63,51654.62
29500,7552000,2690500.93,64198.57
30000,7680000,2851974.16,58517.06
30500,7808000,2729646.42,58617.22
31000,7936000,2648951.82,66101.99
31500,8064000,2751059.46,62981.51
32000,8192000,2311419.81,85069.22
32500,8320000,2305929.76,123809.45
33000,8448000,2634428.71,67840.28
33500,8576000,2614295.27,64592.19
34000,8704000,2632423.72,63484.28
34500,8832000,2624359.22,69117.16
35000,8960000,2521994.32,63184.21
35500,9088000,2270884.78,71844.40
36000,9216000,2138232.63,68592.63
36500,9344000,2220025.31,68183.17
37000,9472000,2059984.45,74215.45
37500,9600000,2138402.81,86360.53
38000,9728000,2225052.11,76991.32
38500,9856000,1724123.27,122791.15
39000,9984000,1000189.50,211059.91
39500,10112000,1871877.08,104418.84
40000,10240000,1739578.25,131937.85
40500,10368000,1487654.59,135423.59
41000,10496000,1936412.70,84144.90
41500,10624000,1703313.37,139977.57
42000,10752000,1770193.54,111823.96
42500,10880000,2056799.86,86130.27
43000,11008000,2323255.86,70940.56
43500,11136000,2100382.35,78465.45
44000,11264000,2359867.95,55746.74
44500,11392000,2287910.52,65960.78
45000,11520000,2519538.69,55621.54
45500,11648000,2617519.16,64783.17
46000,11776000,2465712.77,62702.95
46500,11904000,2195939.99,67215.63
47000,12032000,2178439.88,70570.71
47500,12160000,1402897.57,154741.25
48000,12288000,2162510.52,67394.35
48500,12416000,2117338.08,73781.58
49000,12544000,1572814.41,71971.94
49500,12672000,2152549.81,69003.57
50000,12800000,2114862.00,67666.00
