iteration,timesteps,mean_cost,std_cost
500,128000,873530.11,5838.08
1000,256000,941710.74,3584.75
1500,384000,710875.08,2730.07
2000,512000,956573.35,5680.09
2500,640000,688797.86,3362.45
3000,768000,742253.04,5439.17
3500,896000,723523.31,5438.21
4000,1024000,720278.88,5513.29
4500,1152000,447944.93,8242.20
5000,1280000,461288.74,26188.67
5500,1408000,442933.87,38454.28
6000,1536000,374575.17,35464.15
6500,1664000,29598.00,4181.19
7000,1792000,14207.30,2125.38
7500,1920000,7738.92,156.31
8000,2048000,5625.68,144.20
8500,2176000,4503.76,141.65
9000,2304000,4125.06,299.40
9500,2432000,3352.10,153.11
10000,2560000,3192.39,156.87
10500,2688000,3307.80,131.90
11000,2816000,3127.18,155.91
11500,2944000,3112.63,201.47
12000,3072000,2974.85,259.79
12500,3200000,2817.71,299.09
13000,3328000,2975.80,208.43
13500,3456000,2853.39,228.18
14000,3584000,2964.91,236.31
14500,3712000,2877.35,178.28
15000,3840000,3043.31,180.36
15500,3968000,2869.58,227.91
16000,4096000,2723.35,244.04
16500,4224000,2810.16,156.65
17000,4352000,3796.67,476.50
17500,4480000,2857.23,247.01
18000,4608000,2865.99,231.03
18500,4736000,2898.04,244.24
19000,4864000,2727.53,201.38
19500,4992000,2828.31,239.74
20000,5120000,2980.96,169.43
20500,5248000,2872.15,210.26
21000,5376000,2887.17,193.67
21500,5504000,2820.10,235.61
22000,5632000,2685.90,201.85
22500,5760000,2874.36,275.68
23000,5888000,2811.22,215.52
23500,6016000,2877.41,201.32
24000,6144000,2829.01,270.91
24500,6272000,2797.52,200.84
25000,6400000,2975.62,191.78
25500,6528000,2797.67,191.53
26000,6656000,2996.07,173.55
26500,6784000,2994.19,154.83
27000,6912000,2888.05,254.64
27500,7040000,2845.74,219.01
28000,7168000,2732.77,256.70
28500,7296000,2738.97,230.94
29000,7424000,2816.54,261.59
29500,7552000,2782.44,335.91
30000,7680000,2926.27,261.28
30500,7808000,2789.00,307.48
31000,7936000,2840.26,222.77
31500,8064000,2816.99,332.29
32000,8192000,2830.30,333.31
32500,8320000,2911.09,224.27
33000,8448000,2844.81,194.35
33500,8576000,2877.70,279.40
34000,8704000,2816.37,181.07
34500,8832000,2740.70,177.55
35000,8960000,2802.76,258.63
35500,9088000,2802.86,200.53
36000,9216000,2948.53,214.37
36500,9344000,2895.04,203.91
37000,9472000,3023.00,146.06
37500,9600000,2789.76,210.05
38000,9728000,2841.74,212.43
38500,9856000,2958.94,199.61
39000,9984000,2868.65,303.25
39500,10112000,2816.49,177.80
40000,10240000,2925.43,274.23
40500,10368000,2701.99,203.14
41000,10496000,2820.64,188.49
41500,10624000,2856.10,228.16
42000,10752000,3107.30,188.53
42500,10880000,2789.54,248.28
43000,11008000,2708.38,208.48
43500,11136000,2924.50,209.11
44000,11264000,2843.86,197.98
44500,11392000,2796.69,273.47
45000,11520000,3214.04,236.27
45500,11648000,2815.23,230.46
46000,11776000,2802.41,192.71
46500,11904000,2854.23,250.89
47000,12032000,3037.18,297.52
47500,12160000,2800.35,204.05
48000,12288000,2926.40,245.44
48500,12416000,2750.38,228.18
49000,12544000,2880.72,279.80
49500,12672000,2851.48,256.22
50000,12800000,2897.09,162.69
